,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment
Node_1,Node_6,cc1,AC,400,0.02,0.02,800,0.67,0.0,0.0,0.0
Node_2,Node_3,cc1,AC,400,0.02,0.03,800,0.67,0.0,0.0,0.0
Node_2,Node_6,cc1,AC,400,0.02,0.04,800,0.67,0.0,0.0,0.0
Node_3,Node_4,cc1,AC,400,0.02,0.05,800,0.67,0.0,0.0,0.0
Node_3,Node_6,cc1,AC,400,0.02,0.06,800,0.67,0.0,0.0,0.0
Node_4,Node_5,cc1,AC,400,0.02,0.07,800,0.67,0.0,0.0,0.0
Node_4,Node_6,cc1,AC,400,0.02,0.08,800,0.67,0.0,0.0,0.0
Node_4,Node_9,cc1,AC,400,0.02,0.07,800,0.67,0.0,0.0,0.0
Node_6,Node_7,cc1,AC,400,0.02,0.06,800,0.67,0.0,0.0,0.0
Node_6,Node_8,cc1,AC,400,0.02,0.05,800,0.67,0.0,0.0,0.0
Node_7,Node_8,cc1,AC,400,0.02,0.04,800,0.67,0.0,0.0,0.0
Node_8,Node_9,cc1,AC,400,0.02,0.03,800,0.67,0.0,0.0,0.0
Node_1,Node_4,cc1,AC,400,0.02,0.03,800,0.67,100.0,0.075,0.0
Node_2,Node_1,nc04,AC,400,0.02,0.0002729782418721549,2000,0.67,0.034122280234019364,0.0739,1.0
Node_2,Node_1,nc02,AC,400,0.02,0.0002729782418721549,500,0.67,0.01023668407020581,0.0739,1.0
Node_2,Node_1,nc03,AC,400,0.02,0.0002729782418721549,500,0.67,0.01023668407020581,0.0739,1.0
Node_7,Node_6,nc04,AC,400,0.02,0.00012555407144627134,2000,0.67,0.015694258930783918,0.0739,1.0
Node_2,Node_1,nc01,AC,400,0.02,0.0002729782418721549,100,0.67,0.0027297824187215492,0.0739,1.0
Node_7,Node_6,nc02,AC,400,0.02,0.00012555407144627134,500,0.67,0.004708277679235175,0.0739,1.0
Node_7,Node_6,nc03,AC,400,0.02,0.00012555407144627134,500,0.67,0.004708277679235175,0.0739,1.0
Node_9,Node_6,nc04,AC,400,0.02,0.00019784576153942743,2000,0.67,0.02473072019242843,0.0739,1.0
Node_3,Node_1,nc04,AC,400,0.02,0.0005517404024276638,2000,0.67,0.06896755030345797,0.0739,1.0
Node_7,Node_6,nc01,AC,400,0.02,0.00012555407144627134,100,0.67,0.0012555407144627135,0.0739,1.0
Node_9,Node_6,nc02,AC,400,0.02,0.00019784576153942743,500,0.67,0.007419216057728528,0.0739,1.0
Node_9,Node_6,nc03,AC,400,0.02,0.00019784576153942743,500,0.67,0.007419216057728528,0.0739,1.0
Node_3,Node_1,nc03,AC,400,0.02,0.0005517404024276638,500,0.67,0.02069026509103739,0.0739,1.0
Node_3,Node_1,nc02,AC,400,0.02,0.0005517404024276638,500,0.67,0.02069026509103739,0.0739,1.0
Node_4,Node_1,nc04,AC,400,0.02,0.0006379102282043853,2000,0.67,0.07973877852554816,0.0739,1.0
Node_9,Node_6,nc01,AC,400,0.02,0.00019784576153942743,100,0.67,0.0019784576153942745,0.0739,1.0
Node_7,Node_1,nc04,AC,400,0.02,0.0009824090240141737,2000,0.67,0.1228011280017717,0.0739,1.0
Node_9,Node_1,nc04,AC,400,0.02,0.001020426363088675,2000,0.67,0.12755329538608437,0.0739,1.0
Node_3,Node_1,nc01,AC,400,0.02,0.0005517404024276638,100,0.67,0.005517404024276638,0.0739,1.0
Node_4,Node_1,nc03,AC,400,0.02,0.0006379102282043853,500,0.67,0.023921633557664447,0.0739,1.0
Node_4,Node_1,nc02,AC,400,0.02,0.0006379102282043853,500,0.67,0.023921633557664447,0.0739,1.0
Node_5,Node_1,nc04,AC,400,0.02,0.0011231021154610675,2000,0.67,0.14038776443263343,0.0739,1.0
Node_7,Node_1,nc02,AC,400,0.02,0.0009824090240141737,500,0.67,0.03684033840053151,0.0739,1.0
Node_7,Node_1,nc03,AC,400,0.02,0.0009824090240141737,500,0.67,0.03684033840053151,0.0739,1.0
Node_9,Node_1,nc03,AC,400,0.02,0.001020426363088675,500,0.67,0.03826598861582531,0.0739,1.0
Node_9,Node_1,nc02,AC,400,0.02,0.001020426363088675,500,0.67,0.03826598861582531,0.0739,1.0
Node_8,Node_1,nc04,AC,400,0.02,0.0009991340382345321,2000,0.67,0.12489175477931651,0.0739,1.0
Node_6,Node_1,nc04,AC,400,0.02,0.000873455970897982,2000,0.67,0.10918199636224775,0.0739,1.0
Node_4,Node_1,nc01,AC,400,0.02,0.0006379102282043853,100,0.67,0.006379102282043853,0.0739,1.0
Node_5,Node_1,nc03,AC,400,0.02,0.0011231021154610675,500,0.67,0.04211632932979003,0.0739,1.0
Node_5,Node_1,nc02,AC,400,0.02,0.0011231021154610675,500,0.67,0.04211632932979003,0.0739,1.0
Node_8,Node_1,nc03,AC,400,0.02,0.0009991340382345321,500,0.67,0.03746752643379495,0.0739,1.0
Node_8,Node_1,nc02,AC,400,0.02,0.0009991340382345321,500,0.67,0.03746752643379495,0.0739,1.0
Node_6,Node_1,nc03,AC,400,0.02,0.000873455970897982,500,0.67,0.032754598908674326,0.0739,1.0
Node_6,Node_1,nc02,AC,400,0.02,0.000873455970897982,500,0.67,0.032754598908674326,0.0739,1.0
Node_4,Node_2,nc04,AC,400,0.02,0.0004821930625045836,2000,0.67,0.06027413281307295,0.0739,1.0
Node_7,Node_1,nc01,AC,400,0.02,0.0009824090240141737,100,0.67,0.009824090240141737,0.0739,1.0
Node_9,Node_1,nc01,AC,400,0.02,0.001020426363088675,100,0.67,0.010204263630886749,0.0739,1.0
Node_9,Node_4,nc04,AC,400,0.02,0.0005229412453593403,2000,0.67,0.06536765566991753,0.0739,1.0
Node_3,Node_2,nc04,AC,400,0.02,0.00028120268238115775,2000,0.67,0.03515033529764472,0.0739,1.0
Node_4,Node_2,nc02,AC,400,0.02,0.0004821930625045836,500,0.67,0.018082239843921884,0.0739,1.0
Node_4,Node_2,nc03,AC,400,0.02,0.0004821930625045836,500,0.67,0.018082239843921884,0.0739,1.0
