Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-01T03:00:00+01:00,0,-0.0705040775330437,-0.0353340807590772,0.0402793827416359,-0.117905929910864,-0.0331323416024989,-0.065197833273466,-0.0489116580397768,-0.0419275098878784
sc01,y2030,2030-01-01T07:00:00+01:00,0,-0.0847994292938108,-0.05629383868567,-0.000622157242660348,-0.14636000264266,-0.0452689829994986,-0.0782594973958604,-0.0655536866571018,-0.0642914585093446
sc01,y2030,2030-01-01T11:00:00+01:00,0,-0.111359774012788,-0.0832190574870042,-0.0339310515694529,-0.195015838386953,-0.0630711191329987,-0.102566948266055,-0.0905439803504251,-0.0936957000684087
sc01,y2030,2030-01-01T15:00:00+01:00,0,-0.172707145820901,-0.153013000372515,-0.137859027194383,-0.310125368206883,-0.1072,-0.158710670170283,-0.152035321460471,-0.169315725812894
sc01,y2030,2030-01-01T19:00:00+01:00,0,-0.171425592308943,-0.145433133320152,-0.113936623008542,-0.305604593943542,-0.103862889008499,-0.15756924475938,-0.147738250756634,-0.161556258796457
sc01,y2030,2030-01-01T23:00:00+01:00,0,-0.17338539154096,-0.152539420183554,-0.13457629850334,-0.31099886289834,-0.1072,-0.159350089542601,-0.152111443430335,-0.168903720501086
sc01,y2030,2030-01-02T03:00:00+01:00,0,-0.169843823518436,-0.154953010118889,-0.151455651336632,-0.306633148356632,-0.1072,-0.156096505366395,-0.151747152514658,-0.17105688928665
sc01,y2030,2030-01-02T07:00:00+01:00,0,-0.15914481074053,-0.133149839329898,-0.0991042341828212,-0.283256491755321,-0.0957071573176238,-0.146365324705504,-0.136291660683424,-0.148154464930593
sc01,y2030,2030-01-02T11:00:00+01:00,0,-0.15713685374757,-0.145296643898875,-0.131091024359279,-0.351331797891779,-0.1072,-0.170759935739767,-0.160694946812945,-0.179343866772345
sc01,y2030,2030-01-02T15:00:00+01:00,0,-0.155730565602334,-0.144765866967963,-0.131213869940229,-0.354505932867729,-0.1072,-0.171609294058785,-0.161384046541308,-0.180244501428234
sc01,y2030,2030-01-02T19:00:00+01:00,0,-0.138692444087279,-0.141888670978366,-0.14840282983215,-0.38125176879465,-0.1072,-0.176790180171198,-0.167743410058663,-0.191047353359709
sc01,y2030,2030-01-02T23:00:00+01:00,0,-0.165637641950134,-0.148711759787609,-0.13126150521849,-0.33146361183349,-0.1072,-0.165328549457274,-0.156413747522123,-0.173893338157033
sc01,y2030,2030-01-03T03:00:00+01:00,0,-0.145302838668962,-0.120832011938808,-0.0872755332225577,-0.260851623095058,-0.0873615486709991,-0.134617135117858,-0.124793218965763,-0.135234924479052
sc01,y2030,2030-01-03T07:00:00+01:00,0,-0.169890465016569,-0.149032487725628,-0.125215020956249,-0.32609747382875,-0.1072,-0.164606849677938,-0.155048927356563,-0.171209062042469
sc01,y2030,2030-01-03T11:00:00+01:00,0,-0.150854615379584,-0.143117343750654,-0.132487294239231,-0.364879313591732,-0.1072,-0.17427842083551,-0.163665934879183,-0.183361345106698
sc01,y2030,2030-01-03T15:00:00+01:00,0,-0.15770967261118,-0.143869226777443,-0.123778957327001,-0.355455566477001,-0.1072,-0.172777348773175,-0.161334483868625,-0.179027402051638
sc01,y2030,2030-01-03T19:00:00+01:00,0,-0.145021021177355,-0.141575826400249,-0.135914138417779,-0.375870375392779,-0.1072,-0.176852346004792,-0.16615480597132,-0.187077135324508
sc01,y2030,2030-01-03T23:00:00+01:00,0,-0.176846041552263,-0.149274472058583,-0.114077379228353,-0.318252290483353,-0.1072,-0.163832810397753,-0.152974943219588,-0.166827537929968
sc01,y2030,2030-01-04T03:00:00+01:00,0,-0.129195912147383,-0.100898793034421,-0.054269203058583,-0.230091005543583,-0.0751426624214993,-0.119891687949312,-0.10786203770452,-0.113761912623989
sc01,y2030,2030-01-04T07:00:00+01:00,0,-0.175245761948717,-0.14736634591263,-0.111268253325094,-0.314323697717594,-0.105917304315999,-0.162016295364488,-0.151069088350148,-0.164510768392132
sc01,y2030,2030-01-04T11:00:00+01:00,0,-0.154260151434937,-0.143215513640017,-0.126944437443913,-0.361105143856413,-0.1072,-0.173928643717212,-0.162661857035354,-0.181216719466922
sc01,y2030,2030-01-04T15:00:00+01:00,0,-0.157988772502903,-0.14372632422446,-0.122657756721603,-0.355643717411603,-0.1072,-0.172965733156991,-0.161336707481651,-0.178856267338137
sc01,y2030,2030-01-04T19:00:00+01:00,0,-0.140550204891692,-0.141150924948839,-0.141882921406449,-0.381800706593949,-0.1072,-0.177737192215593,-0.167638704835988,-0.189901692956876
sc01,y2030,2030-01-04T23:00:00+01:00,0,-0.166485715926385,-0.148257097278304,-0.127764317968838,-0.332102684036338,-0.1072,-0.165930363453826,-0.15643194716971,-0.173373954167448
sc01,y2030,2030-01-05T03:00:00+01:00,0,-0.156328886887005,-0.133070768312884,-0.104874806100502,-0.281412638270503,-0.0951699955099992,-0.144700751748575,-0.135688438727625,-0.148511577958989
sc01,y2030,2030-01-05T07:00:00+01:00,0,-0.1599470777043,-0.147789141505652,-0.137171832114699,-0.340270114757199,-0.1072,-0.167003789283955,-0.158516248179925,-0.177500208689358
sc01,y2030,2030-01-05T11:00:00+01:00,0,-0.140705546888077,-0.14203944988825,-0.145536090894592,-0.378715097654592,-0.1072,-0.176450053875564,-0.167097945319273,-0.189776764840369
sc01,y2030,2030-01-05T15:00:00+01:00,0,-0.149859171589657,-0.143502513995521,-0.135936071413228,-0.364618580765728,-0.1072,-0.173785558356359,-0.163727714073932,-0.183975534948721
sc01,y2030,2030-01-05T19:00:00+01:00,0,-0.137309679067085,-0.141700596184526,-0.149998561601949,-0.383272665024449,-0.1072,-0.177145321337792,-0.168234082362988,-0.191922689064676
sc01,y2030,2030-01-05T23:00:00+01:00,0,-0.166422276659813,-0.148913674572049,-0.130776621876647,-0.330003157286648,-0.1072,-0.164990148010247,-0.156082023970412,-0.173393720266783
sc01,y2030,2030-01-06T03:00:00+01:00,0,-0.134270928928021,-0.108949655842787,-0.0709557159559693,-0.240407715700969,-0.079692409001499,-0.124527315688857,-0.114071539255429,-0.122318292233717
sc01,y2030,2030-01-06T07:00:00+01:00,0,-0.132235172020385,-0.106185377458298,-0.0659142567188191,-0.236433467048819,-0.0780512460319995,-0.122666732588235,-0.111810578311392,-0.119356583123645
sc01,y2030,2030-01-06T11:00:00+01:00,0,-0.17406468648955,-0.148014160371211,-0.116339447798322,-0.312812353920823,-0.1058552052045,-0.160931624061948,-0.150869973273581,-0.165069928895003
sc01,y2030,2030-01-06T15:00:00+01:00,0,-0.173576611374991,-0.147374713913484,-0.115213472197208,-0.311867741039709,-0.105470942072499,-0.160485493014581,-0.150339415349302,-0.164383416007674
